#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf61.7.100
#tb 0: 1/60
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1080x1920
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  6220800, b762fb183214e1989fc049a4841332da
0,          1,          1,        1,  6220800, c9d6a5853893644f2925dcc4336bb504
0,          2,          2,        1,  6220800, 805c88e65eb7d930534d9875e35ed741
0,          3,          3,        1,  6220800, 57d72a218001ac84bd47ba8501cd9f93
0,          4,          4,        1,  6220800, 92fd0ffd6e34a2bec99d8cc0c57232d1
0,          5,          5,        1,  6220800, e73b7ad3626399ce22c19d986bd6c6d3
0,          6,          6,        1,  6220800, 147f090883bd37cd65846fdbb0a5062b
0,          7,          7,        1,  6220800, aea875115201add970b52d29af3a928a
0,          8,          8,        1,  6220800, a84511f6bc2e37c8d20e31ca0ec771c6
0,          9,          9,        1,  6220800, e68aa67c5b1d39edd771a0b38c0a5203
0,         10,         10,        1,  6220800, e833986e5de127f28e28f9033f0ca0db
0,         11,         11,        1,  6220800, be1782536b7ebdd3b13532de922503f8
0,         12,         12,        1,  6220800, 8bdd34718537bd6ac6a74a956cf56109
0,         13,         13,        1,  6220800, 70aff6d32b90014a08ad1da124599d62
0,         14,         14,        1,  6220800, cf504539958decf997ae389bbad1c124
0,         15,         15,        1,  6220800, 79b8de575149f73240de70a8fb8091d8
0,         16,         16,        1,  6220800, f315228149899635782d2b4d88000ab8
0,         17,         17,        1,  6220800, 33fd89e9ea80a2788b462d896f2891cb
0,         18,         18,        1,  6220800, b0f4a187396c6e3ce4c3ca7f63b94f5f
0,         19,         19,        1,  6220800, d5167add43fdd53eeac80bfbdec843dc
0,         20,         20,        1,  6220800, 64dc2808ae5a214800b53ca36b87b9ef
0,         21,         21,        1,  6220800, 41e4d6dd68de497a58b764d32e03e91c
0,         22,         22,        1,  6220800, 874429449dd114ee186b200b95539e48
0,         23,         23,        1,  6220800, 67a38ec4d45cdcc0589268a1bc54d136
0,         24,         24,        1,  6220800, 79a0719e69dbc8215caf4e832f16e710
0,         25,         25,        1,  6220800, 9702b581402655266a8f24ca44815215
0,         26,         26,        1,  6220800, b3e2947f11c7c8a39b46bbac7daf3190
0,         27,         27,        1,  6220800, 7ba2b8a03207082634aa4a1684eb0769
0,         28,         28,        1,  6220800, 935c3a573b09c9635b3ef38d7c42f8a9
0,         29,         29,        1,  6220800, 29ae19ad4e7d21a88de7924da008e59a
0,         30,         30,        1,  6220800, dae2236384f64fde7ae2be61c69a0a65
0,         31,         31,        1,  6220800, 264084f590f11e8902c6dde3d7a837d0
0,         32,         32,        1,  6220800, c6713aff3b584126e62177b423a74225
0,         33,         33,        1,  6220800, c91159f5be09d0d1b28da33caf641fcf
0,         34,         34,        1,  6220800, 4c00b7a71ee55b369b5c4ea8c453ebf1
0,         35,         35,        1,  6220800, d134624aaff3c7470a2b647fe719eb79
0,         36,         36,        1,  6220800, d8d5a146f88d35ce3ce05fd3a4cb6470
0,         37,         37,        1,  6220800, 7272de3f9588b2bffd92f2801b0a131a
0,         38,         38,        1,  6220800, d7368926e1bf97b1e4d8e892a66ccd8f
0,         39,         39,        1,  6220800, d62617cd5073cc7abb70d8559dc6f856
0,         40,         40,        1,  6220800, e04ea7822fbcc9dd0d6cfc1fa60d54c0
0,         41,         41,        1,  6220800, 73848b6a9bdcfc7daeab179af0626ceb
0,         42,         42,        1,  6220800, 35ed6f5c5a200ce0f6f122bab9f2de5b
0,         43,         43,        1,  6220800, c364b878d420fa17d3ddd4e5dd583842
0,         44,         44,        1,  6220800, 2e51f8e985bec3805e75aaf3c207b1ef
0,         45,         45,        1,  6220800, 3988a1d1eecf9d1ef8e434ad71eff642
0,         46,         46,        1,  6220800, 01f32d606695b64d9aa6ebc7819333de
0,         47,         47,        1,  6220800, e349427f26ea0c94efe2424ce583fc65
0,         48,         48,        1,  6220800, 04339214e33702a1904a016c3f9724ac
0,         49,         49,        1,  6220800, b4e302d1dd2e00e7742a447e7ebd88dd
0,         50,         50,        1,  6220800, ce61ce24e6a7f6f59798e84c3dc0ace3
0,         51,         51,        1,  6220800, 74cf7fb9f5f4e845cc8c4b1c8a71b30d
0,         52,         52,        1,  6220800, e353dbeb1bcfd353977020e757dcb1fd
0,         53,         53,        1,  6220800, a0cec4735bd5c57b3eedf9f0d8a44c09
0,         54,         54,        1,  6220800, ca6003a6dda24eebdaa3f1d2668fdabb
0,         55,         55,        1,  6220800, 36edc074f0dacaac3adba3c02cb51332
0,         56,         56,        1,  6220800, 874e4c3a919bd81d03a84e38d42ace5b
0,         57,         57,        1,  6220800, 7736e936fe40389889f72d4df6203dd8
0,         58,         58,        1,  6220800, 16674338c59287eadc0183e1571bc12b
